Name,Price,Change,Date
STRAX,1.0000000,+105.76%,2022-06-28
HIVE,0.5620000,+38.73%,2022-06-28
USTC,0.0257783,+25.71%,2022-06-28
AST,0.0000050,+25.12%,2022-06-28
RNDR,0.6140000,+20.63%,2022-06-28
LSK,1.2440000,+16.59%,2022-06-28
RARE,0.2280000,+13.43%,2022-06-28
NXS,0.0000067,+13.38%,2022-06-28
LUNC,0.0000899,+13.19%,2022-06-28
APE,5.3978000,+11.27%,2022-06-28
Top Losers
QLC,0.0000003,-20.59%,2022-06-28
YFII,995.0000000,-15.96%,2022-06-28
VGX,0.3080000,-12.99%,2022-06-28
SNX,2.4200000,-12.70%,2022-06-28
TRU,0.0682000,-10.85%,2022-06-28
LIT,1.0380000,-10.75%,2022-06-28
WNXM,12.6500000,-10.66%,2022-06-28
CVX,4.2000000,-10.26%,2022-06-28
LINKUP,0.0117500,-9.96%,2022-06-28
XRPUP,0.1303000,-9.76%,2022-06-28
Top Volume
USDT,"14,855.0000000",+0.13%,2022-06-28
BTC,"20,942.1800000",-2.14%,2022-06-28
ETH,"1,220.4800000",-0.98%,2022-06-28
BUSD,1.0011000,+0.04%,2022-06-28
XRP,0.3481000,-4.47%,2022-06-28
STRAX,1.0050000,+107.22%,2022-06-28
BNB,238.1000000,-0.67%,2022-06-28
ADA,0.4893000,-3.38%,2022-06-28
TRX,0.0675500,-3.39%,2022-06-28
DOGE,0.0714400,-7.31%,2022-06-28
